N,P,K,ph,moisture,organic_carbon,soil_quality
96,7,23,7.33,62,0.35,Bad
29,49,43,7.98,58,0.81,Bad
63,11,41,7.49,52,0.5,Bad
34,29,7,7.31,19,0.57,Bad
37,7,29,7.36,22,1.01,Bad
14,19,38,7.38,66,1.17,Bad
30,33,59,6.02,11,1.07,Bad
27,54,26,6.19,10,0.53,Bad
56,33,42,5.68,31,0.65,Bad
79,14,18,5.09,42,1.18,Bad
66,36,43,6.33,25,1.12,Good
28,27,58,8.1,51,1.18,Bad
74,43,6,7.11,67,0.63,Bad
12,13,36,4.72,38,1.0,Bad
51,41,47,7.74,19,1.07,Bad
30,56,57,8.24,48,0.24,Bad
49,44,7,7.82,16,0.47,Bad
76,18,45,7.41,10,1.08,Bad
34,8,12,5.1,35,0.59,Bad
64,24,30,5.9,54,0.48,Bad
93,32,36,6.76,14,0.47,Bad
61,18,15,4.81,44,0.58,Bad
53,48,54,4.93,22,0.44,Bad
94,38,5,8.24,36,0.2,Bad
65,17,19,7.31,21,0.37,Bad
64,35,8,5.6,39,1.08,Bad
96,37,8,5.81,59,0.28,Bad
79,56,32,6.04,41,0.61,Good
86,43,14,4.8,68,0.66,Bad
96,32,15,7.46,40,0.98,Bad
82,29,54,5.21,14,0.45,Bad
90,36,27,7.72,46,0.51,Bad
75,13,51,7.88,11,0.21,Bad
28,32,7,7.05,47,1.1,Bad
92,35,43,7.58,16,0.89,Bad
16,21,43,5.19,10,0.46,Bad
72,57,21,6.8,12,1.09,Bad
51,27,26,7.21,29,0.29,Bad
51,17,56,7.15,11,0.57,Bad
68,59,31,4.97,51,0.76,Bad
29,14,20,5.88,52,0.71,Bad
82,20,20,5.8,30,0.85,Bad
26,10,44,6.79,54,0.5,Bad
36,52,7,7.56,41,0.96,Bad
56,15,56,6.78,57,0.61,Bad
11,56,51,7.52,29,0.33,Bad
72,7,37,4.9,52,0.94,Bad
71,32,46,8.01,59,1.11,Bad
28,45,6,6.65,40,0.56,Bad
26,19,43,4.65,52,0.79,Bad
78,17,50,7.07,42,0.89,Bad
48,46,52,6.57,33,1.03,Bad
91,56,31,5.38,27,0.4,Bad
80,49,19,7.56,29,0.77,Bad
90,21,11,8.23,69,0.94,Bad
48,11,49,5.79,41,0.4,Bad
45,32,46,6.48,67,0.67,Bad
49,42,13,5.01,14,0.66,Bad
54,17,45,8.22,11,1.04,Bad
13,21,10,5.78,35,0.98,Bad
34,19,16,5.28,34,0.43,Bad
78,40,34,6.41,59,0.43,Bad
39,32,59,4.67,31,0.92,Bad
85,19,24,5.51,48,0.94,Bad
77,50,24,4.77,31,0.38,Bad
97,57,58,5.01,20,0.61,Bad
38,15,50,4.95,20,1.03,Bad
82,35,31,7.99,69,0.28,Bad
77,8,24,8.22,54,0.57,Bad
60,39,11,6.4,13,0.84,Bad
33,38,44,7.02,42,0.97,Bad
23,56,44,7.28,27,0.85,Bad
78,31,34,6.07,40,0.6,Good
27,14,12,5.98,53,1.19,Bad
51,34,6,7.2,67,0.24,Bad
66,49,18,6.01,37,0.69,Bad
92,24,14,6.82,51,0.71,Bad
21,33,54,6.56,69,0.44,Bad
91,57,22,6.6,31,0.76,Bad
26,33,22,7.82,49,0.42,Bad
39,27,20,7.32,12,0.64,Bad
97,54,56,8.34,16,0.63,Bad
84,25,9,7.66,66,0.97,Bad
32,52,56,5.08,29,1.14,Bad
90,47,35,7.45,52,0.4,Bad
10,14,41,7.16,16,1.19,Bad
88,45,24,7.08,16,1.14,Bad
41,16,27,6.42,38,0.31,Bad
18,34,36,4.75,69,1.11,Bad
24,55,46,8.31,35,0.76,Bad
37,37,21,7.91,50,1.08,Bad
33,22,17,6.45,12,1.15,Bad
69,18,53,5.13,52,1.06,Bad
44,26,54,7.8,26,0.6,Bad
95,25,17,6.22,49,0.84,Bad
36,5,21,6.06,29,0.66,Bad
92,53,19,7.16,43,0.57,Bad
85,47,30,7.53,62,0.45,Bad
29,56,48,4.75,61,0.64,Bad
74,19,32,7.57,42,1.01,Bad
94,40,46,7.44,25,1.04,Good
58,51,49,6.86,69,1.16,Bad
10,58,34,5.85,32,0.49,Bad
19,26,47,5.16,13,0.85,Bad
56,36,39,4.91,65,0.89,Bad
68,50,26,4.5,50,0.39,Bad
71,58,14,5.33,49,0.57,Bad
95,37,15,6.15,42,0.54,Bad
27,45,42,5.47,17,1.19,Bad
55,43,37,5.74,14,1.16,Bad
41,27,10,6.06,42,1.02,Bad
36,47,41,5.73,66,0.67,Bad
27,59,11,7.4,34,0.46,Bad
48,6,58,6.47,16,1.12,Bad
58,6,48,4.58,56,0.47,Bad
91,42,16,5.41,16,0.72,Bad
53,59,11,7.34,68,0.45,Bad
81,55,6,5.7,42,1.17,Bad
63,33,5,8.18,50,0.24,Bad
43,56,27,7.35,42,0.37,Bad
80,50,29,5.66,38,0.97,Bad
45,7,22,6.57,53,0.35,Bad
27,43,48,7.17,48,1.18,Bad
47,11,11,5.27,66,0.52,Bad
68,40,55,5.48,50,1.12,Bad
18,33,58,6.53,41,0.86,Bad
82,59,7,8.2,46,0.83,Bad
81,41,33,5.88,53,1.12,Bad
60,53,14,6.11,38,0.71,Bad
44,40,47,5.26,31,0.6,Bad
91,27,9,6.87,11,0.42,Bad
14,49,38,7.46,59,0.34,Bad
23,20,12,6.26,67,0.99,Bad
39,52,18,7.5,18,0.33,Bad
13,35,44,5.71,38,0.59,Bad
48,38,59,7.33,42,0.61,Bad
93,54,10,5.53,19,0.86,Bad
73,5,5,7.62,69,0.48,Bad
34,22,37,7.82,37,1.04,Bad
37,44,44,7.69,55,0.41,Bad
85,47,15,5.36,62,0.99,Bad
75,19,54,7.28,55,1.05,Bad
87,52,28,6.65,48,0.39,Bad
31,53,14,8.44,21,1.01,Bad
40,21,48,5.95,67,0.91,Bad
32,48,56,7.59,31,1.07,Bad
57,14,27,5.98,63,0.71,Bad
29,24,20,6.09,15,0.43,Bad
47,10,41,4.94,54,1.11,Bad
64,12,20,5.46,49,0.99,Bad
77,49,48,5.16,32,0.22,Bad
88,38,35,5.14,62,1.14,Bad
97,36,10,4.54,67,1.15,Bad
98,55,34,7.68,43,0.56,Bad
10,58,41,6.37,51,0.21,Bad
16,46,5,7.72,47,0.75,Bad
66,8,55,6.95,25,1.11,Bad
21,48,46,7.83,19,0.32,Bad
14,54,29,6.52,56,0.79,Bad
59,43,50,4.88,30,0.93,Bad
51,24,25,6.97,61,0.33,Bad
21,28,39,7.21,19,0.71,Bad
27,28,42,7.01,20,0.29,Bad
75,59,9,7.71,30,0.76,Bad
83,30,53,7.43,34,0.64,Good
88,29,54,6.23,69,0.46,Bad
26,40,16,7.78,43,1.05,Bad
77,11,9,7.27,63,0.58,Bad
80,14,13,4.98,40,0.9,Bad
71,51,48,6.66,36,0.99,Good
50,16,56,7.41,34,0.38,Bad
43,5,13,6.71,69,0.32,Bad
79,56,39,8.3,51,0.21,Bad
54,54,5,4.91,41,0.51,Bad
67,29,58,7.39,62,1.02,Bad
60,20,51,7.8,53,0.97,Bad
43,9,14,7.31,20,1.07,Bad
53,23,50,6.04,63,0.96,Bad
24,8,43,6.04,56,0.22,Bad
87,10,40,6.85,35,0.59,Bad
79,30,41,6.09,69,0.21,Bad
59,53,56,8.03,45,0.24,Bad
41,43,52,4.94,46,0.68,Bad
76,59,39,7.06,65,0.56,Bad
12,43,21,5.04,69,0.76,Bad
95,13,17,6.66,42,0.27,Bad
95,49,10,7.36,42,0.79,Bad
83,56,41,5.16,51,0.27,Bad
60,18,52,7.32,45,0.62,Bad
76,52,36,5.06,22,0.55,Bad
85,59,15,6.98,23,0.42,Bad
57,13,21,6.52,67,0.51,Bad
26,19,9,5.69,60,0.2,Bad
16,41,10,4.95,46,0.52,Bad
22,54,14,7.44,52,0.28,Bad
75,57,57,6.03,67,1.12,Bad
13,24,37,4.85,49,0.27,Bad
19,12,34,7.59,10,1.15,Bad
97,36,25,5.43,14,0.69,Bad
26,51,46,7.45,39,0.71,Bad
61,25,21,6.76,62,0.99,Bad
15,45,31,5.28,27,0.9,Bad
92,23,7,4.81,54,0.44,Bad
78,33,33,6.87,46,0.23,Bad
83,35,6,4.6,65,0.98,Bad
18,58,33,4.76,67,0.33,Bad
86,10,53,7.31,48,0.8,Bad
92,8,40,6.66,21,1.14,Bad
30,47,38,5.81,43,0.75,Bad
33,33,41,6.66,54,0.49,Bad
13,46,46,6.87,23,0.38,Bad
33,7,5,6.76,47,0.23,Bad
68,5,30,7.07,25,0.82,Bad
12,48,5,8.26,51,0.76,Bad
77,59,8,6.06,68,0.66,Bad
49,19,43,5.7,20,0.39,Bad
57,51,18,4.65,42,0.44,Bad
63,25,50,5.09,24,1.16,Bad
44,50,22,4.92,57,0.22,Bad
65,35,38,5.84,51,0.56,Bad
98,11,5,6.94,19,0.24,Bad
49,21,57,4.69,12,0.39,Bad
86,23,26,7.41,20,1.13,Bad
77,43,20,6.09,20,0.35,Bad
55,7,26,8.35,25,0.8,Bad
87,34,54,6.77,47,0.55,Good
22,39,20,7.59,39,0.83,Bad
36,33,32,7.94,50,1.05,Bad
15,54,32,8.06,10,0.49,Bad
26,56,59,6.57,69,0.28,Bad
45,58,26,6.09,47,0.4,Bad
90,18,10,6.74,59,0.64,Bad
11,39,29,6.11,66,0.72,Bad
86,32,46,5.46,54,1.14,Bad
61,34,6,5.8,43,0.22,Bad
75,30,11,5.43,69,0.96,Bad
61,11,57,5.58,28,0.27,Bad
52,43,21,4.87,69,0.28,Bad
99,35,39,6.21,43,0.85,Good
31,9,24,5.44,68,1.11,Bad
64,39,48,6.29,45,0.49,Bad
76,54,6,7.67,13,0.47,Bad
69,51,11,6.29,19,0.82,Bad
67,56,36,8.32,26,0.98,Bad
21,18,53,5.09,65,1.07,Bad
97,40,23,7.9,25,0.45,Bad
78,31,16,5.49,30,0.94,Bad
93,28,13,8.24,37,0.51,Bad
48,44,31,5.41,17,0.74,Bad
22,33,18,7.49,38,0.39,Bad
50,57,6,4.75,15,0.35,Bad
66,49,25,7.02,39,1.14,Bad
62,26,8,5.37,11,0.75,Bad
21,12,55,7.18,64,0.2,Bad
22,19,25,7.04,67,0.99,Bad
83,53,52,8.19,56,0.89,Bad
66,9,26,7.01,40,0.53,Bad
49,56,53,6.13,34,0.66,Bad
89,8,6,5.27,32,0.65,Bad
54,15,21,7.13,52,0.47,Bad
44,22,23,4.97,30,1.18,Bad
12,46,44,7.81,25,0.74,Bad
14,53,28,5.49,13,1.1,Bad
99,34,24,6.6,52,0.79,Bad
20,19,42,6.88,55,0.89,Bad
80,10,16,5.95,17,0.23,Bad
65,59,29,7.16,15,0.71,Bad
19,57,27,5.5,62,0.92,Bad
43,20,54,4.64,64,0.32,Bad
76,51,38,8.34,36,0.88,Bad
81,44,36,5.78,60,0.28,Bad
40,13,55,7.35,66,1.01,Bad
84,47,28,6.53,45,1.18,Bad
80,38,46,7.18,69,0.83,Bad
75,31,29,4.94,45,0.28,Bad
79,17,7,6.58,33,0.79,Bad
50,40,29,6.07,15,0.94,Bad
72,31,32,6.31,52,1.13,Good
41,13,16,8.36,42,0.25,Bad
29,9,30,5.05,11,0.98,Bad
66,55,52,7.52,50,0.33,Bad
59,26,48,5.82,25,0.99,Bad
89,35,12,5.66,47,1.09,Bad
34,7,9,5.58,64,1.06,Bad
21,34,15,5.9,68,0.85,Bad
80,25,46,5.93,18,0.7,Bad
48,39,39,5.58,60,1.07,Bad
26,10,31,7.17,14,0.72,Bad
54,32,59,4.69,62,0.39,Bad
20,36,45,5.83,19,1.14,Bad
79,46,48,5.62,39,0.57,Bad
32,41,42,7.51,16,0.82,Bad
79,29,23,5.09,38,0.4,Bad
47,36,52,8.26,11,0.31,Bad
11,39,57,5.18,29,0.75,Bad
95,26,59,5.98,68,0.75,Bad
93,28,36,5.3,13,0.57,Bad
98,43,50,5.65,37,0.51,Bad
88,58,32,7.54,17,0.57,Bad
81,34,40,6.41,67,1.0,Bad
46,54,22,5.15,44,0.56,Bad
58,36,14,4.69,11,1.12,Bad
61,35,36,5.42,50,0.31,Bad
42,27,22,8.28,37,1.13,Bad
31,44,16,7.88,20,0.89,Bad
14,37,55,6.26,45,0.54,Bad
27,29,12,6.43,18,0.21,Bad
47,40,37,8.1,47,1.0,Bad
46,28,50,6.87,10,1.17,Bad
73,35,59,8.02,36,1.18,Bad
19,43,42,6.47,12,0.62,Bad
88,50,18,5.3,48,0.27,Bad
51,17,6,7.4,18,0.51,Bad
57,14,13,6.61,49,0.51,Bad
53,27,48,7.17,37,0.3,Bad
91,22,9,5.13,30,0.72,Bad
96,36,38,7.09,37,0.8,Good
25,37,23,6.03,54,0.93,Bad
63,40,11,5.83,33,0.25,Bad
44,32,43,7.19,27,0.48,Bad
37,20,46,6.87,60,0.56,Bad
11,20,21,7.1,65,1.09,Bad
22,22,30,8.36,18,1.1,Bad
50,12,50,7.3,35,0.46,Bad
89,46,31,7.06,33,0.69,Good
68,20,47,6.95,61,0.62,Bad
78,59,32,6.09,15,0.73,Bad
62,15,24,7.86,68,0.49,Bad
54,10,10,6.02,62,0.66,Bad
29,5,12,7.3,21,0.35,Bad
33,16,36,5.67,45,0.91,Bad
70,42,23,5.09,18,0.57,Bad
67,32,36,5.02,19,0.74,Bad
36,49,23,7.04,12,0.8,Bad
35,21,28,5.81,58,1.04,Bad
16,5,28,5.6,38,0.28,Bad
51,36,21,6.87,16,0.68,Bad
56,12,22,4.6,35,1.09,Bad
62,58,16,5.48,17,0.53,Bad
68,44,45,5.86,52,0.64,Bad
47,47,27,7.33,22,0.29,Bad
78,50,52,6.68,44,0.95,Good
96,28,22,7.92,28,0.29,Bad
62,14,20,5.84,55,0.83,Bad
24,51,20,5.69,31,0.57,Bad
35,43,40,4.63,25,0.54,Bad
57,43,27,8.31,24,0.79,Bad
28,14,26,6.51,11,0.77,Bad
18,40,43,6.51,47,0.61,Bad
73,29,37,8.19,30,0.48,Bad
63,54,28,5.66,39,0.71,Bad
60,14,59,5.83,16,0.47,Bad
48,23,24,7.13,40,0.3,Bad
13,50,37,7.64,50,1.0,Bad
12,49,35,7.3,50,0.9,Bad
73,19,44,7.65,58,0.28,Bad
38,20,59,6.8,64,0.36,Bad
20,6,12,7.95,44,0.3,Bad
67,33,14,6.7,13,0.99,Bad
84,8,5,5.42,43,0.97,Bad
36,57,25,6.67,10,0.61,Bad
30,54,29,7.35,19,1.02,Bad
48,33,36,7.11,39,1.17,Bad
55,35,57,5.47,41,1.17,Bad
75,21,50,4.66,12,1.18,Bad
45,14,50,5.51,19,1.05,Bad
84,31,14,8.44,18,0.42,Bad
91,57,55,5.24,26,0.26,Bad
74,45,52,6.36,56,1.01,Good
72,19,13,7.05,12,0.51,Bad
44,48,24,8.02,36,0.54,Bad
40,35,52,7.54,62,0.27,Bad
37,25,24,8.14,44,0.91,Bad
10,45,44,6.92,13,0.63,Bad
34,50,11,7.96,13,0.4,Bad
52,49,15,5.56,58,0.85,Bad
93,30,25,6.22,41,1.18,Bad
76,42,42,7.88,47,0.7,Bad
72,55,51,5.8,20,0.81,Bad
60,40,23,7.98,53,0.36,Bad
11,56,50,5.95,64,0.36,Bad
91,21,19,5.95,69,0.66,Bad
73,55,10,5.74,48,1.04,Bad
83,7,14,6.69,54,1.11,Bad
78,18,50,5.02,15,0.84,Bad
18,53,20,4.65,64,0.56,Bad
11,17,49,8.09,44,0.95,Bad
43,45,15,8.22,62,0.49,Bad
69,31,39,4.8,55,0.42,Bad
70,5,12,6.7,41,1.0,Bad
40,21,32,6.66,55,0.95,Bad
19,52,7,5.99,32,1.08,Bad
85,54,6,6.78,51,0.78,Bad
45,38,57,6.33,46,1.1,Bad
94,18,18,6.46,35,0.23,Bad
58,58,56,7.52,43,0.45,Bad
79,59,33,6.6,47,1.0,Good
58,21,57,5.79,64,0.62,Bad
12,7,58,6.83,20,0.44,Bad
83,38,51,7.06,59,1.0,Good
14,44,7,7.15,67,1.02,Bad
99,29,5,6.97,65,0.66,Bad
70,6,19,7.16,30,0.67,Bad
94,38,24,5.74,52,0.98,Bad
99,30,26,6.28,33,0.97,Bad
35,35,38,7.17,24,1.07,Bad
81,13,54,7.52,12,0.85,Bad
14,34,37,6.24,11,0.39,Bad
24,24,13,5.96,16,0.75,Bad
25,25,7,7.36,14,0.58,Bad
10,33,6,5.39,62,0.23,Bad
25,29,8,4.54,54,0.4,Bad
46,42,20,6.38,49,0.41,Bad
12,48,58,5.19,38,0.28,Bad
61,29,37,6.01,50,0.65,Bad
56,13,13,5.66,41,0.71,Bad
22,43,44,7.61,39,0.54,Bad
89,48,42,5.83,17,0.61,Bad
64,30,56,7.06,41,0.75,Good
30,41,22,7.2,51,0.32,Bad
75,20,20,6.33,11,0.76,Bad
63,41,12,4.82,19,0.91,Bad
36,16,27,7.3,52,1.07,Bad
47,28,40,4.8,64,0.5,Bad
99,30,7,4.9,52,0.95,Bad
67,24,19,5.28,46,0.81,Bad
71,13,42,5.62,55,0.7,Bad
55,27,37,7.89,64,1.12,Bad
98,43,22,7.2,12,0.82,Bad
20,33,27,6.05,61,0.57,Bad
81,35,47,8.41,32,0.91,Bad
17,23,7,5.47,43,1.16,Bad
80,24,34,6.94,27,1.12,Bad
73,27,49,7.89,42,1.18,Bad
30,47,21,7.71,42,0.3,Bad
81,31,54,4.86,69,0.64,Bad
72,34,36,7.29,26,0.63,Good
94,25,50,5.53,15,0.58,Bad
73,48,11,5.92,22,0.38,Bad
29,39,43,6.46,30,1.03,Bad
17,53,18,7.66,40,0.87,Bad
67,11,19,5.16,67,0.81,Bad
55,26,48,4.93,65,0.65,Bad
40,14,16,5.11,30,0.59,Bad
18,27,12,5.37,42,0.99,Bad
24,19,20,4.74,37,0.73,Bad
35,34,45,8.21,65,0.81,Bad
19,38,38,5.78,15,0.3,Bad
38,17,50,5.21,17,0.67,Bad
89,8,28,7.05,22,0.33,Bad
45,22,33,7.65,43,0.25,Bad
93,27,20,7.51,67,0.89,Bad
46,37,9,7.37,49,0.47,Bad
95,38,9,4.7,31,1.17,Bad
80,38,56,7.63,10,0.81,Bad
32,40,34,6.51,22,0.85,Bad
50,39,57,7.1,10,0.4,Bad
89,21,54,8.33,19,0.33,Bad
37,32,54,7.74,69,0.73,Bad
57,18,9,7.8,14,1.13,Bad
47,38,47,5.23,64,0.26,Bad
40,52,17,6.41,29,0.71,Bad
23,15,39,8.3,22,0.4,Bad
82,17,53,6.83,67,0.98,Bad
97,37,29,4.91,46,0.88,Bad
86,59,54,7.43,19,0.3,Bad
99,6,18,4.67,12,0.82,Bad
38,38,48,7.47,43,1.18,Bad
60,57,50,8.02,43,0.73,Bad
58,33,30,6.2,39,0.49,Bad
52,41,22,6.15,46,0.35,Bad
81,8,24,5.72,13,1.19,Bad
96,16,38,8.01,43,0.76,Bad
14,30,11,6.69,41,0.57,Bad
51,32,51,6.82,30,0.41,Bad
16,7,14,7.15,67,1.15,Bad
51,24,19,5.7,50,0.83,Bad
45,14,21,6.23,33,0.26,Bad
36,56,15,7.47,18,0.26,Bad
67,22,38,8.44,50,1.14,Bad
55,57,31,4.64,33,0.91,Bad
75,57,25,4.67,34,0.3,Bad
34,57,35,6.21,45,0.82,Bad
82,31,54,7.14,17,0.62,Bad
36,35,8,6.05,59,0.99,Bad
10,31,45,8.5,50,0.47,Bad
96,46,53,5.28,38,0.58,Bad
83,5,21,4.53,34,0.37,Bad
51,10,53,5.26,68,0.45,Bad
61,15,52,8.05,44,0.39,Bad
34,38,24,5.08,47,0.22,Bad
63,43,29,6.42,37,0.25,Bad
76,24,44,6.18,64,1.04,Bad
15,57,27,7.16,28,1.0,Bad
67,25,19,4.72,41,0.34,Bad
79,25,37,7.14,46,0.87,Bad
62,22,23,5.92,58,0.95,Bad
75,25,19,8.2,68,0.25,Bad
67,23,45,7.9,60,0.29,Bad
91,8,9,6.1,37,0.76,Bad
96,17,20,8.47,65,0.57,Bad
11,22,49,4.71,44,0.9,Bad
85,56,52,7.65,17,0.76,Bad
31,33,36,6.24,50,0.23,Bad
46,29,26,6.23,63,0.88,Bad
29,17,47,5.18,32,0.4,Bad
33,31,36,6.56,63,0.51,Bad
93,23,17,4.84,49,0.94,Bad
74,53,42,6.97,55,0.97,Good
74,5,30,5.47,32,0.55,Bad
90,42,56,7.4,41,0.29,Bad
10,23,21,6.93,19,0.97,Bad
12,56,9,7.49,26,1.07,Bad
55,5,53,7.5,44,1.16,Bad
64,44,37,5.29,44,0.52,Bad
84,21,31,4.5,12,0.32,Bad
97,25,9,5.96,45,1.14,Bad
95,26,41,8.18,38,0.6,Bad
73,19,11,6.81,58,0.29,Bad
54,54,52,7.41,55,0.7,Good
35,43,22,8.02,36,0.39,Bad
86,52,35,8.12,40,0.56,Bad
74,43,10,6.62,43,0.52,Bad
33,36,6,6.66,21,1.19,Bad
83,53,17,7.9,46,0.84,Bad
44,8,46,7.73,68,0.69,Bad
33,48,57,7.3,63,0.71,Bad
37,49,56,6.92,34,0.8,Bad
89,36,15,6.97,11,1.07,Bad
25,8,30,5.95,39,0.35,Bad
68,57,25,7.86,53,0.8,Bad
90,5,6,6.97,18,0.52,Bad
63,37,44,5.39,32,0.77,Bad
88,11,58,5.46,18,0.72,Bad
25,13,55,7.95,29,0.23,Bad
24,5,24,7.0,64,0.78,Bad
20,20,21,6.09,10,0.91,Bad
74,22,20,5.25,65,0.45,Bad
88,58,46,6.94,48,0.31,Bad
99,51,9,5.24,32,0.41,Bad
77,10,18,6.38,27,0.84,Bad
52,6,28,7.21,51,0.67,Bad
78,13,55,6.76,41,1.07,Bad
22,8,8,8.19,56,0.48,Bad
19,49,56,4.66,18,0.57,Bad
84,27,52,5.62,20,0.73,Bad
91,58,28,4.73,65,0.66,Bad
50,47,51,5.28,10,0.75,Bad
59,49,13,5.0,20,0.51,Bad
96,47,7,7.43,42,0.37,Bad
80,55,59,5.98,39,1.0,Bad
68,12,13,8.2,14,0.24,Bad
48,43,22,4.59,59,0.57,Bad
12,29,40,7.11,10,0.29,Bad
85,20,23,8.38,19,0.94,Bad
16,39,28,5.2,69,0.57,Bad
58,21,8,6.27,22,0.23,Bad
35,22,13,7.31,36,0.28,Bad
42,31,37,7.03,17,0.4,Bad
57,19,5,6.76,37,0.99,Bad
88,21,56,5.81,54,1.0,Bad
11,47,55,7.41,61,1.2,Bad
80,9,39,7.11,11,0.44,Bad
41,20,14,5.15,62,0.26,Bad
13,19,16,8.36,21,0.48,Bad
29,46,22,6.72,36,0.38,Bad
45,50,18,6.6,22,0.91,Bad
41,38,14,7.89,69,1.17,Bad
37,52,14,7.06,31,0.47,Bad
86,23,22,4.8,49,0.53,Bad
10,12,28,6.53,24,0.55,Bad
69,51,5,7.62,40,1.06,Bad
65,14,34,7.3,16,0.78,Bad
44,9,19,8.38,48,1.17,Bad
39,56,12,4.6,58,0.83,Bad
63,52,39,5.54,60,0.91,Bad
45,57,22,6.7,44,0.29,Bad
64,30,45,6.98,16,1.15,Bad
98,26,20,5.6,21,0.83,Bad
89,48,25,7.81,23,0.72,Bad
67,27,19,5.16,43,0.59,Bad
92,17,9,4.5,67,0.28,Bad
74,13,49,8.31,48,0.33,Bad
78,53,58,6.07,57,0.21,Bad
60,24,56,8.33,18,1.2,Bad
31,32,11,5.61,42,0.99,Bad
97,48,52,4.75,21,1.0,Bad
62,41,11,7.59,43,0.93,Bad
45,28,31,7.84,36,0.68,Bad
77,48,29,6.47,31,0.29,Bad
45,37,26,4.8,27,0.27,Bad
61,24,52,7.12,55,1.12,Bad
62,52,17,5.23,53,0.2,Bad
91,34,21,7.9,27,0.9,Bad
59,48,45,5.6,46,0.83,Bad
89,13,48,7.89,16,0.7,Bad
50,49,17,6.21,13,1.17,Bad
27,53,30,6.89,54,0.4,Bad
31,21,13,7.66,25,0.99,Bad
75,40,9,4.66,31,0.87,Bad
30,18,43,7.78,69,1.17,Bad
53,23,37,5.05,57,1.13,Bad
56,11,8,5.93,60,0.33,Bad
48,7,32,6.39,45,0.51,Bad
38,37,30,8.08,29,1.05,Bad
63,48,8,4.59,40,0.43,Bad
99,36,20,6.74,61,0.58,Bad
94,51,41,7.07,69,0.83,Bad
26,15,26,5.77,42,0.76,Bad
89,46,40,5.66,22,0.84,Bad
69,6,42,6.46,61,0.91,Bad
40,30,59,5.25,29,0.93,Bad
82,8,39,6.37,63,0.94,Bad
87,21,29,7.56,50,1.19,Bad
58,21,12,7.88,51,0.56,Bad
11,32,21,6.04,47,0.24,Bad
57,34,22,6.97,31,0.55,Bad
23,44,54,4.5,48,1.11,Bad
68,27,16,6.7,32,0.28,Bad
67,50,37,8.4,57,0.85,Bad
67,28,27,5.75,58,0.62,Bad
60,33,16,6.88,65,1.12,Bad
93,8,15,7.55,42,1.13,Bad
11,42,17,6.94,50,0.99,Bad
50,33,39,6.17,39,0.3,Bad
92,23,31,5.11,23,0.22,Bad
91,31,29,6.35,56,0.34,Bad
25,33,44,5.68,45,0.52,Bad
13,40,7,7.28,66,0.44,Bad
21,39,53,6.27,17,0.57,Bad
38,56,29,7.9,66,0.34,Bad
16,10,49,5.27,56,0.95,Bad
23,27,14,6.17,31,1.05,Bad
21,43,21,6.73,66,0.69,Bad
14,50,7,5.0,13,1.16,Bad
90,48,49,6.85,60,0.32,Bad
41,52,26,5.66,44,0.31,Bad
83,56,42,5.42,17,0.4,Bad
52,12,18,5.07,43,1.18,Bad
90,59,31,5.9,69,0.62,Bad
78,6,46,8.22,31,1.12,Bad
54,17,24,4.62,34,0.4,Bad
18,44,52,7.91,34,1.05,Bad
58,25,22,6.09,49,0.51,Bad
42,35,17,6.75,49,0.93,Bad
27,56,46,6.55,26,1.17,Bad
18,52,10,8.2,25,1.13,Bad
71,40,14,7.58,57,1.03,Bad
66,52,41,8.44,57,0.25,Bad
38,56,33,7.68,68,0.81,Bad
87,42,10,5.68,48,1.04,Bad
34,31,43,8.35,24,0.6,Bad
24,40,15,8.43,26,0.93,Bad
15,52,52,4.99,66,0.34,Bad
51,27,29,8.1,44,0.38,Bad
38,59,48,7.16,42,0.84,Bad
88,25,48,8.19,49,0.64,Bad
13,17,34,8.16,48,0.42,Bad
91,41,59,8.07,27,0.48,Bad
66,51,24,8.04,39,0.82,Bad
58,30,41,4.97,32,0.93,Bad
53,44,20,5.07,46,0.41,Bad
89,11,35,4.97,56,1.16,Bad
84,50,33,4.86,16,0.21,Bad
23,43,10,5.91,19,0.9,Bad
12,26,33,7.24,25,0.49,Bad
71,43,36,5.92,37,0.68,Bad
73,27,13,7.38,32,0.77,Bad
54,34,41,7.78,43,0.76,Bad
91,22,57,7.16,27,0.98,Bad
67,46,27,6.36,56,1.02,Bad
29,22,20,5.68,32,0.27,Bad
67,50,22,5.0,60,0.9,Bad
98,14,23,6.47,29,0.6,Bad
66,43,48,7.38,40,1.02,Good
86,34,6,6.69,23,0.81,Bad
77,30,14,7.39,32,0.21,Bad
87,11,16,5.84,11,0.87,Bad
61,11,50,4.77,38,1.13,Bad
46,9,22,7.58,59,0.28,Bad
17,5,23,5.38,18,0.69,Bad
53,50,42,6.97,68,0.83,Bad
14,22,41,7.72,42,0.4,Bad
78,17,31,5.06,57,0.85,Bad
40,29,52,6.89,53,0.25,Bad
54,44,18,7.26,21,1.11,Bad
18,12,49,7.49,28,0.96,Bad
41,14,57,5.09,51,1.14,Bad
42,36,38,7.8,29,0.62,Bad
76,21,6,4.88,46,0.23,Bad
39,42,48,6.58,40,0.54,Bad
85,19,37,6.27,44,0.72,Bad
38,19,23,5.39,50,1.14,Bad
12,52,31,5.71,30,1.08,Bad
99,44,52,5.16,64,0.79,Bad
66,55,34,6.2,56,0.93,Good
39,24,11,4.64,55,1.15,Bad
18,19,31,8.06,52,1.05,Bad
35,39,25,5.15,22,0.86,Bad
